seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,mrt,let,rm
1756737380,3,0,21.6,21.6,1.0,safe,0.0,True,False,,,
1756737380,3,0.02,20.7,20.691476592831123,0.9995882411995711,safe,0.0,True,False,,,
1756737380,3,0.05,20.95,20.93121013332342,0.9991031089891849,safe,0.0,True,False,,,
1756737380,3,0.1,20.599999999999998,20.569638469316146,0.9985261392871917,safe,0.0,True,False,,,
1756737380,3,0.2,21.5,21.448545719865933,0.997606777668183,safe,0.0,True,False,,,
1756737380,3,0.3,0,24.398794951151785,,,1.0,False,False,,,
1756737380,3,0.4,0,24.61367920944599,,,1.0,False,False,,,
1756737380,3,0.5,0,25.4152992073482,,,1.0,False,False,,,
1756737380,5,0,664,553.0,0.8328313253012049,safe,0.0,False,False,,,
1756737380,5,0.02,670.64,601.1862457833157,0.8964366065002322,safe,0.0,False,False,,,
1756737380,5,0.05,680.6,599.2509058969076,0.8804744429869344,safe,0.0,False,False,,,
1756737380,5,0.1,697.2,599.2453583473326,0.8595028088745448,safe,0.0,False,False,,,
1756737380,5,0.2,750.4,697.2026764083771,0.9291080442542339,safe,0.0,False,True,,,
1756737380,5,0.3,0,686.0002495580528,,,1.0,False,False,,,
1756737380,5,0.4,0,711.2515192523365,,,1.0,False,False,,,
1756737380,5,0.5,0,717.8955961477616,,,1.0,False,False,,,
1756737380,8,0,3982,3098.0,0.7780010045203415,safe,0.0,,False,,,
1756737380,8,0.02,4007.4,3967.7855561633382,0.9901146768885907,safe,0.0,,False,,,
1756737380,8,0.05,4039.9,3996.707268894071,0.9893084652823265,safe,0.0,,False,,,
1756737380,8,0.1,4090.8,3989.516474777578,0.9752411447094891,safe,0.0,,False,,,
1756737380,8,0.2,4224.7,4079.321673207327,0.9655884851486087,safe,0.0,,False,,,
1756737380,8,0.3,4332.1,4137.116719926627,0.9549910482044798,safe,0.0,,False,,,
1756737380,8,0.4,4639.799999999999,4427.069678268954,0.95415097165157,safe,0.0,True,True,,,
1756737380,8,0.5,0,5081.986803731619,,,1.0,False,False,,,
1756737380,10,0,828,771.0,0.9311594202898551,safe,0.0,False,True,,,
1756737380,10,0.02,0,681.0538388455204,,,1.0,False,False,,,
1756737380,10,0.05,0,686.0493660722568,,,1.0,False,False,,,
1756737380,10,0.1,0,695.3468139000331,,,1.0,False,False,,,
1756737380,10,0.2,0,794.9017613779538,,,1.0,False,False,,,
1756737380,10,0.3,0,809.8563747269509,,,1.0,False,False,,,
1756737380,10,0.4,0,818.5905157431345,,,1.0,False,False,,,
1756737380,10,0.5,0,859.4651606484892,,,1.0,False,False,,,
