seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1756826707,3,0,212,206,0.9716981132075472,safe,0.0,3.105797804892063e-05,0.00043407315388321877
1756826708,3,0,260,230,0.8846153846153846,safe,0.0,1.2204982340335846e-05,5.064811557531357e-05
1756826709,3,0,800,610,0.7625,safe,0.0,9.188894182443619e-06,6.568897515535355e-05
1756826710,3,0,52,46,0.8846153846153846,safe,0.0,9.828945621848106e-06,6.354786455631256e-05
1756826711,3,0,70,55,0.7857142857142857,safe,0.0,1.3425946235656738e-05,3.575091250240803e-05
1756826712,3,0,2210,2105,0.9524886877828054,safe,0.0,1.2567965313792229e-05,0.0006465499754995108
1756826713,3,0,430,415,0.9651162790697675,safe,0.0,1.0699965059757233e-05,0.00015682214871048927
1756826714,3,0,142,131,0.9225352112676056,safe,0.0,1.4981953427195549e-05,0.0004698790144175291
1756826715,3,0,3002,3001,0.9996668887408394,safe,0.0,1.1764001101255417e-05,0.00254756398499012
1756826716,3,0,520,460,0.8846153846153846,safe,0.0,1.3523036614060402e-05,8.42660665512085e-05
1756826707,5,0,3002,2501,0.8331112591605596,safe,0.0,2.7633970603346825e-05,0.005082129035145044
1756826708,5,0,562,491,0.8736654804270463,safe,0.0,1.5936093404889107e-05,0.0010546890553086996
1756826709,5,0,2342,2181,0.9312553373185312,safe,0.0,1.856195740401745e-05,0.009202050045132637
1756826710,5,0,2480,2240,0.9032258064516129,safe,0.0,1.9154977053403854e-05,0.00044562690891325474
1756826711,5,0,2308,2204,0.9549393414211439,safe,0.0,1.9491882994771004e-05,0.020517711993306875
1756826712,5,0,2162,2091,0.9671600370027752,safe,0.0,1.939595676958561e-05,0.014932160964235663
1756826713,5,0,630,515,0.8174603174603174,safe,0.0,1.4366116374731064e-05,0.00021726707927882671
1756826714,5,0,542,471,0.8690036900369004,safe,0.0,2.2697029635310173e-05,0.0022513510193675756
1756826715,5,0,326,264,0.8098159509202454,safe,0.0,1.7354032024741173e-05,0.0003425208851695061
1756826716,5,0,2704,2452,0.9068047337278107,safe,0.0,1.9244849681854248e-05,0.0030938799027353525
1756826707,8,0,3460,3231,0.9338150289017341,safe,0.1,2.9338989406824112e-05,0.0935805831104517
1756826708,8,0,2718,2460,0.9050772626931567,safe,0.1,2.6341062039136887e-05,0.12995339883491397
1756826709,8,0,2846,2439,0.8569922698524245,safe,0.1,2.78339721262455e-05,0.06661032512784004
1756826710,8,0,0,1060,,,0.1,1.7066020518541336e-05,0.0003617240581661463
1756826711,8,0,3302,2751,0.8331314354936402,safe,0.1,4.3100910261273384e-05,0.01529977610334754
1756826712,8,0,5050,4036,0.7992079207920793,safe,0.1,2.764398232102394e-05,0.05884269205853343
1756826713,8,0,526,463,0.8802281368821293,safe,0.1,2.194591797888279e-05,0.0034935821313410997
1756826714,8,0,662,636,0.9607250755287009,safe,0.1,3.484683111310005e-05,0.005587342893704772
1756826715,8,0,2920,2461,0.8428082191780822,safe,0.1,2.4910783395171165e-05,0.10458773095160723
1756826716,8,0,4202,3324,0.7910518800571157,safe,0.1,2.667587250471115e-05,0.14348101196810603
1756826707,10,0,2602,2301,0.8843197540353575,safe,0.1,3.050197847187519e-05,0.0548963169567287
1756826708,10,0,276,211,0.7644927536231884,safe,0.1,3.0197901651263237e-05,0.0021678670309484005
1756826709,10,0,0,721,,,0.1,2.8303125873208046e-05,0.002731755143031478
1756826710,10,0,2487,2246,0.9030960997185364,safe,0.1,3.1261006370186806e-05,0.06790450285188854
1756826711,10,0,3604,2804,0.7780244173140954,safe,0.1,4.491489380598068e-05,0.14770407509058714
1756826712,10,0,1202,833,0.6930116472545758,safe,0.1,3.81020363420248e-05,0.0029733781702816486
1756826713,10,0,8000,6520,0.815,safe,0.1,3.3147865906357765e-05,0.0010259379632771015
1756826714,10,0,4862,3492,0.7182229535170712,safe,0.1,5.3176889196038246e-05,0.10514167882502079
1756826715,10,0,2508,2274,0.9066985645933014,safe,0.1,3.933790139853954e-05,0.15220492403022945
1756826716,10,0,6630,4635,0.6990950226244343,safe,0.1,4.014209844172001e-05,0.004103215178474784
